Short description	Description	Caller	Assignment group
job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00  	"received from: monitoring_tool@company.com_x000D_
_x000D_
job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00"	bpctwhsn kzqsbmtp	GRP_13
customer not getting order acknowledgements automatically	"

received from: ourhmqta.tjwnqexo@gmail.com

two customer accounts have not been getting the order acknowledgements automatically like they have been for the past 10 years. both are under the same top parent

accts 81184926657 and 81862217657 should automatically be sending acknowledgements to   hdyrugdty@gmail.com

since october 14'th they have not been getting them.

can someone look into this?  this is affecting the customer paying the bills, as they use this acknowledgement as a receiver so they can pay the bill.


senior sales engineer
company, inc
ourhmqta.tjwnqexo@gmail.com




"	kgqpwvzu rkexzwlh	GRP_13
credit memo request 7112610434 approva	"hello,_x000D_
_x000D_
i have messages to process documents in my erp workflow, but i find none._x000D_
please advise._x000D_
_x000D_
_x000D_
"	nuhfwplj ojcwxser	GRP_13
rma 7112619085 workflow in error status	rma 7112619085 workflow in error status - please advise reason for error and restart workflow. 	lwgytuxq qspdztiw	GRP_13
erp - change of new costs not working in cockpit - field mvgr4	"hello, following problem:_x000D_
due to necessary changes on tool for an received order i tried to update the costs in cockpit, but when saving the quote, it does not work: error message' field mvgr4 cannot be changed, vbapkom 00010 ready for input' any hints how to solve that? i did that on other q1's before and it worked, only new thing is that we have an order running._x000D_
erp data, in case it is necessary: order # 36156763  - q1 # 3116244801. concerning items: 10 (as above), 260, 380, 400"	nobwzdvh yqjugexl	GRP_13
erp zqt pntp and zntc price not calculating on quote 2005151099	"erp quote pntp net price and zntc unit price are $0.00 but all costs are loaded. see screenshots in email attached. need quote to send to customer for ordering
"	zsulhnxd gexdzoqy	GRP_13
 billing block not removed automatically	"hello it,_x000D_
_x000D_
please check, why billing block was not removed automatically._x000D_
_x000D_
"	jwqyxbzs adpvilqu	GRP_13
german workflow objects from all folders are gone :de_industrial - 01, gen ing, transportation 1/2, ici	german workflow objects from all folders are gone :de_industrial - 01, gen ing, transportation 1/2, ici. in the morning there were approximately 20 objects.. please check also the uk folder. 	mcytlpva jutxbdor	GRP_13
"material type ""nd""  doesn Â´t create any requriment  for the zlz agreements orders "	"_x000D_
_x000D_
received from: qbewrpfu.lwibmxzo@gmail.com_x000D_
_x000D_
mit freundlichen grÃ¼ÃŸen / best "	qbewrpfu lwibmxzo	GRP_13
company center not pulling replacement item	"company center is not pulling replacement items when they are available.  _x000D_
material 3976391 in company center is a pre-obsolete with replacement - the diaolog box is not displaying the replacement - vb13 is populated mm# 6984824_x000D_
."	vbmzgsdk jdmyazti	GRP_13
 delivery unable to ship out delivery	"please provide the following: 

what order number? customer order nor. 35946436

what material or item number? item 10  mm 4846674

what warehouse location? plant_108

issue description / error message?  the delivery quantety is 33 the picked quantety is 31  delivery note is booked but system says delivery is not picked yet
can not cancel... please help "	cwrikael oanmsecr	GRP_13
on the english forms we are printing german instead of english	"there was a change in bank details made with ticket_no1557889.  this is not correctly printing on the english forms.  it is showing the correct data but the ""descriptions"" are in german. example. ""bankverbindung instead of bank address,  konto nummer instead of account number""  i also see that there is an extra text being printed for the customers --   ""bitte beachten sie unsere neue bankverbindung."" ""please note our new bank account details.""   only the english version should print on the english documents, not both german and english."	ujxvrlzg pkaegicn	GRP_13
the note which was always printed at bottom of the quotation was missing. please help to put it back.	please see attachment, 	tfazwrdv upwonzvd	GRP_13
when running sa38 report zsdr0100, open order report, the report is not pulling usa scheduling agreements	when running the report, example would be mm # 2123340 for location plant_92 as the source location, and making sure on the outputs tab, that scheduling agreements are included.  this report is not picking up this scheduling agreement 4111333643/000010/0049????	prgewfly ndtfvple	GRP_13
delivery blocked status :blocked	"same issue with inc1561759. i have found another delivery status blocked items. please see the attached excel file for material numbers. _x000D_
plesae change status to ""not blocked"" otherwise we cannot create delivery note."	nwlhcfpa zdlfmthq	GRP_13
*deilvery block status* 	"

received from: nwlhcfpa.zdlfmthq@gmail.com

hello it team,

can you please assist to create dn for the following so# 36148274 ? we cannot create delivery. i believed this is because delivery block status has been set with ""blocked"". need to be ""not  blocked.""


so# 361482744
mm#
52815092
56235173
52842204

[cid:image002.png@01d22a14.9ba833d0]


[cid:image001.jpg@01d22a11.78bb30f0]

"	nwlhcfpa zdlfmthq	GRP_13
hello    on my order below.   i have 5  drop ships that will not inwarehouse_tool they customer.  item 50, 70, 80, 100 and 110.  	"from: pvjdtrya oevyhtdx [mailto:pvjdtrya.oevyhtdx@gmail.com] 
sent: tuesday, october 18, 2016 9:02 pm
to: nwfodmhc exurcwkm
subject: wtykmnlg xamesrpfrop ship will not inwarehouse_tools

hello 
 
on my order below.   i have 5  drop ships that will not inwarehouse_tool they customer.  item 50, 70, 80, 100 and 110.  po # 5616726510, 5616726518 and 5616720523.
 
please advise.
 
 
 
 
 
please update your records with my new email address:
 
pvjdtrya.oevyhtdx@gmail.com
 
zurtxjbd gaotwcfd
inside sales representative
pvjdtrya.oevyhtdx@gmail.com

"	pvjdtrya oevyhtdx	GRP_13
